graphgen/graphs/a,9,6,37474,373864
graphgen/graphs/b,15,25,72882,763105
graphgen/graphs/c,10,13,50911,446560
graphgen/graphs/d,17,33,101811,907105
graphgen/graphs/e,21,54,177558,1215777
graphgen/graphs/f,19,36,91587,1062844
graphgen/graphs/g,35,145,267565,2064771
graphgen/graphs/h,23,67,147831,1425743
graphgen/graphs/i,32,126,228368,1970699
graphgen/graphs/j,42,215,120266,2661482
graphgen/graphs/k,36,154,250451,2126803
graphgen/graphs/l,44,240,127872,2756580
graphgen/graphs/m,62,514,339641,5522423
graphgen/graphs/n,63,533,377300,6183274
graphgen/graphs/o,43,240,136658,3602094
graphgen/graphs/p,66,585,398650,8690256
graphgen/graphs/q,69,597,400389,7335489
graphgen/graphs/r,75,732,473451,9376349
graphgen/graphs/s,69,638,304622,6562456
graphgen/graphs/t,80,838,528182,10405079
graphgen/graphs/u,90,1116,662670,12724200
graphgen/graphs/v,82,892,792862,14887513
graphgen/graphs/w,109,1689,1156576,22225374
graphgen/graphs/x,98,1308,776475,23927213
graphgen/graphs/y,113,1744,1051966,21234516
